127.0.0.1 - - [28/May/2025:15:23:19 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [28/May/2025:15:23:20 +0530] "GET /HotelWebApp/ HTTP/1.1" 200 10555
0:0:0:0:0:0:0:1 - - [28/May/2025:15:23:20 +0530] "GET /HotelWebApp/css/enhanced_style.css HTTP/1.1" 404 1591
0:0:0:0:0:0:0:1 - - [28/May/2025:15:23:21 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/May/2025:15:31:34 +0530] "GET /HotelWebApp/ HTTP/1.1" 200 31396
0:0:0:0:0:0:0:1 - - [28/May/2025:15:31:49 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [28/May/2025:15:31:49 +0530] "GET /HotelWebApp/css/style.css HTTP/1.1" 200 15299
0:0:0:0:0:0:0:1 - - [28/May/2025:15:31:51 +0530] "GET /HotelWebApp/index.jsp HTTP/1.1" 200 31396
0:0:0:0:0:0:0:1 - - [28/May/2025:15:31:52 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [28/May/2025:15:31:53 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [28/May/2025:15:31:54 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [28/May/2025:15:31:55 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [28/May/2025:15:32:02 +0530] "GET /HotelWebApp/reports HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [28/May/2025:15:32:05 +0530] "GET /HotelWebApp/index.jsp HTTP/1.1" 200 31396
0:0:0:0:0:0:0:1 - - [28/May/2025:16:41:36 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [28/May/2025:16:41:50 +0530] "POST /HotelWebApp/addReservation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2025:16:41:50 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [28/May/2025:16:41:54 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 4077
0:0:0:0:0:0:0:1 - - [28/May/2025:16:41:57 +0530] "GET /HotelWebApp/updateReservation?id=6 HTTP/1.1" 500 1686
0:0:0:0:0:0:0:1 - - [28/May/2025:16:42:05 +0530] "GET /HotelWebApp/deleteReservation?id=6&confirm=true HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2025:16:42:05 +0530] "GET /HotelWebApp/displayReservations?successMessage=Reservation%20deleted%20successfully! HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [28/May/2025:16:42:07 +0530] "GET /HotelWebApp/reports HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [28/May/2025:16:42:12 +0530] "GET /HotelWebApp/index.jsp HTTP/1.1" 200 31396
0:0:0:0:0:0:0:1 - - [28/May/2025:16:42:14 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [28/May/2025:16:42:17 +0530] "GET /HotelWebApp/displayReservations HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [28/May/2025:16:42:18 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [28/May/2025:18:16:18 +0530] "GET /HotelWebApp/index.jsp HTTP/1.1" 200 31396
0:0:0:0:0:0:0:1 - - [28/May/2025:18:16:19 +0530] "GET /HotelWebApp/addReservation HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [28/May/2025:18:16:21 +0530] "GET /HotelWebApp/index.jsp HTTP/1.1" 200 31396
0:0:0:0:0:0:0:1 - - [28/May/2025:18:42:03 +0530] "GET /HotelWebApp/reports HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [28/May/2025:18:42:03 +0530] "GET /HotelWebApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2025:18:42:05 +0530] "POST /HotelWebApp/reports HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [28/May/2025:18:42:07 +0530] "GET /HotelWebApp/reports HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [28/May/2025:18:42:16 +0530] "POST /HotelWebApp/reports HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [28/May/2025:18:42:19 +0530] "GET /HotelWebApp/reports HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [28/May/2025:18:42:26 +0530] "POST /HotelWebApp/reports HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [28/May/2025:18:42:30 +0530] "GET /HotelWebApp/reports HTTP/1.1" 200 2824
